x, y
402.3070146,0.174403925
418.3294791,0.169485745
435.783504,0.164465851
454.3992952,0.1590391
469.0094703,0.159703234
483.6279044,0.16859425
495.8154388,0.186807072
503.1384209,0.203201005
515.8793084,0.214425464
528.600925,0.201543662
539.442242,0.182247883
547.1561502,0.165943698
559.1372096,0.141340832
571.333003,0.117629461
583.9913005,0.101516738
599.4741769,0.097011398
618.032155,0.112854878
631.0125537,0.137032937
642.707301,0.167577108
650.7405572,0.202159931
660.890871,0.234445209
666.5592996,0.264564574
674.3172558,0.295048913
676.7701795,0.315266102
682.9424072,0.353014031
691.1738795,0.386687408
698.3041515,0.428491938
704.9719194,0.454782062
710.866094,0.483561193
717.839445,0.51359081
726.2140733,0.537314147
736.8874573,0.558841655
747.2332342,0.566877075
758.9968065,0.562569181
767.0273098,0.549579681
774.6228389,0.533161815
782.157802,0.512789063
786.3781522,0.492326562
793.7589473,0.468495528
799.826561,0.437849643
806.3291488,0.410691956
813.4016078,0.383342807
817.960577,0.353414904
824.3585508,0.324228917
831.3429138,0.294881383
837.3444555,0.266676639
844.8050875,0.2409609
850.079837,0.213803213
857.8901002,0.189577288
865.0011012,0.166936907
871.492677,0.145421366
878.8954961,0.123642564
883.5398084,0.105465642